ID,Codice,Prodotto,Data_prod,Mix,Stabilimento,Danno,Data_Fatt,Fattura,Data_rec,Cod_cliente,Stamp,Provincia,Regione,Posa,Area,Linea_Gronda,Altitudine,Coordinate,latitudine,longitudine
PM14,RZ01W,tesi_rossa,2013-11-26,N35,ILCA,ND,1970-01-01,ND,1970-01-01,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PM15,SZ01W,tesi_winter_serenissima,2016-10-17,IM4B6,ILCA,Sfaldatura,1970-01-01,ND,2021-06-23,ND,ND,TV,VENETO,guaina,270.0,ND,117,"45.60838349289041, 11.581903376518817",45.60838349289041,11.581903376518817
PM17,SZ01W,tesi_serenissima_winter_2018,2018-09-24,IM4B6,ILCA,Sfaldatura,1970-01-01,ND,2022-02-08,ND,ND,BL,VENETO,doppio_listello_incrociato,300.0,aperta,329,"46.0049918593186, 12.03111508125752",46.0049918593186,12.03111508125752
PM32,SM01W,maxima_serenissima,2011-06-01,M2,ILCA,Sfaldatura rottura aloni umidità ,2014-05-20,VI19259,2022-04-01,ND,ND,TN,TRENTINOALTO_ADIGE,legno,320.0,aperta,575,"46.04633285660318, 10.754588447430212",46.04633285660318,10.754588447430212
M064010,SW01,tegole_temax_serenissima,2007-01-01,ND,ILCA,Sfaldatura,2008-03-20,ND,2010-05-12,92010,ND,BG,LOMBARDIA,ND,ND,aperta,386,"45.68324241173273, 9.697413411922215",45.68324241173273,9.697413411922215
P102013,RU01G,unicoppo_rosso_extra_12_mq,2007-08-12,ND,ILCA,Sfaldatura,2008-01-14,ND,2013-05-15,ND,ND,VE,VENETO,legno_+_guaina,500.0,aperta,6,"45.5210527652882, 12.201952267731414",45.5210527652882,12.201952267731414
P103013,CZ01,tegole_tesi_chiare,2010-04-17,ND,ILCA,Sfaldatura,1970-01-01,ND,2013-05-15,ND,ND,VE,VENETO,ND,ND,ND,1,ND,ND,ND
P139013,SW01,tegole_temax_serenissima,2007-01-01,ND,ILCA,Sfaldatura,2008-03-20,ND,2013-06-24,92010,ND,BG,LOMBARDIA,ND,ND,ND,386,"45.68324241173273, 9.697413411922215",45.68324241173273,9.697413411922215
P154013,FZ01,tegole_tesi_12_francia,2011-03-21,ND,ILCA,Sfaldatura,2011-04-09,VI2377,2013-07-22,ND,R210311,TV,VENETO,ND,400.0,ND,16,"45.63137473315256, 12.191062082835469",45.63137473315256,12.191062082835469
Q194014,FZ01,tegole_tesi_12_francia,2011-03-20,ND,ILCA,Sfaldatura,2011-05-02,ND,2014-09-11,ND,ND,PN,FRIULI_VENEZIA_GIULIA,ND,480.0,ND,14,"45.89420189057566, 12.674118072922996",45.89420189057566,12.674118072922996
R024015,EZ01,tegola_tesi_estense,2004-12-09,ND,ILCA,Sfaldatura,2005-09-09,VI508117,2015-03-04,ND,ND,TN,TRENTINO__ALTO_ADIGE,legno_+_guaina_su_doppia_listellatura,320.0,aperta,504,"45.99131946019562, 10.97205713876349",45.99131946019562,10.97205713876349
R045015,TU01G,unicoppo_d'autore_rosso_extra_12_mq,2013-01-01,ND,ILCA,Sfaldatura,2013-10-10,FT14552,2015-04-02,ND,ND,TO,PIEMONTE,ND,300.0,aperta,255,"45.47128039307253, 7.943935967214418",45.47128039307253,7.943935967214418
R085015,DM01G,teg_maxima_dsa_rossa,2011-01-01,ND,ILCA,Sfaldatura,1970-01-01,ND,2015-06-15,108470,ND,IM,LIGURIA,ND,ND,ND,39,"43.8609946435442, 7.956580940482017",43.8609946435442,7.956580940482017
R098015,DM01G,teg_maxima_dsa_rossa,2011-01-01,ND,ILCA,Sfaldatura,2011-08-31,VI6169,2015-07-20,108470,ND,IM,LIGURIA,legno,ND,aperta,39,"43.86376910792707, 7.852617023290771",43.86376910792707,7.852617023290771
R150015,DM01G,teg_maxima_dsa_rossa,2011-01-01,ND,ILCA,Sfaldatura,1970-01-01,ND,2015-12-10,108470,ND,IM,LIGURIA,ND,920.0,aperta,39,"43.86376910792707, 7.852617023290771",43.86376910792707,7.852617023290771
S101016,DU01G,unicoppo_extra_doppia_stella_alpina,2011-01-01,ND,ILCA,Sfaldatura,2011-06-29,IL022727,2016-07-11,ND,ND,BL,VENETO,listello_3x4_+_constrolistello,ND,aperta,325,"46.06519292063421, 11.922094852261345",46.06519292063421,11.922094852261345
S147016,SZ01,tegola_tesi_serenissima,2010-10-21,ND,ILCA,Sfaldatura,2011-02-04,IL0398,2016-09-07,44090,S201,TV,VENETO,legno,240.0,aperta,248,"45.85291021518465, 11.893587838754826",45.85291021518465,11.893587838754826
T023017,PU01GW,unicoppo_extra_winter_ant_possagno,2008-01-01,ND,ILCA,Sfaldatura,1970-01-01,ND,2017-02-28,44090,ND,BL,VENETO,doppia_listellatura_incrociata,210.0,aperta,395,"46.13017114228071, 12.346682481101018",46.13017114228071,12.346682481101018
T053017,SM01W,teg_maxima_serenisswinter_168,2015-01-01,ND,ILCA,Sfaldatura,2015-10-30,VI30785,2017-07-05,3250,ND,CO,LOMBARDIA,ND,236.4,aperta,481,"46.043310547272924, 9.156998123424403",46.043310547272924,9.156998123424403
T065017,SL01G,unicoppo_extra_selezione,2011-01-01,ND,ILCA,Sfaldatura,1970-01-01,ND,2017-07-13,45880,EU01GH,VI,VENETO,ND,ND,aperta,55,"45.62809693025537, 11.439642125247685",45.62809693025537,11.439642125247685
T109017,SW01F,tegole_temax_serenissima,2014-01-01,ND,ILCA,Sfaldatura,2015-02-17,VC2776,2017-02-17,ND,ND,JABLONNA_(Lublino),POLONIA,ND,16.4,ND,167,"52.37825175950517, 20.917786534795333",52.37825175950517,20.917786534795333
T113017,DZ01,tegola_tesi_dsa,2006-01-01,ND,ILCA,Sfaldatura,2006-11-30,ND,2017-11-21,15ND,D201,BL,VENETO,ND,ND,ND,395,"46.120337581914605, 12.357204398579855",46.120337581914605,12.357204398579855
